Group,Ind,P1,P2,P3,P4,P5
7,CB0615,0.973732,1.00E-04,1.00E-04,1.00E-04,0.0259679
7,CB0616,0.952586,0.00960128,0.0317624,0.0050341,0.00101631
7,CB0617,0.321697,0.241539,0.273048,0.0800931,0.0836222
7,CB0618,0.387675,0.209316,0.249443,0.0726462,0.08092
7,CB0620,0.2991,0.261604,0.262593,0.0879205,0.0887832
7,CB0621,0.9996,1.00E-04,1.00E-04,1.00E-04,1.00E-04
7,CB0622,0.9996,1.00E-04,1.00E-04,1.00E-04,1.00E-04
7,CB0623,0.999211,0.000489557,1.00E-04,1.00E-04,1.00E-04
7,CB0625,0.650289,0.118536,0.170715,0.0394899,0.0209704
7,CB0626,0.849814,0.0776419,0.0410128,0.0314312,1.00E-04
7,CB0627,0.523445,0.190614,0.1817,0.0613541,0.0428868
8,CB0633,0.116093,0.513881,0.215961,0.0816412,0.0724238
8,CB0634,0.141227,0.377111,0.299116,0.0969114,0.085634
8,CB0635,0.122509,0.83209,0.0337009,0.00198374,0.00971582
8,CB0636,0.0928223,0.795124,0.0431906,0.0261772,0.0426864
8,CB0637,0.152328,0.36137,0.304764,0.0999873,0.0815511
8,CB0638,0.0075057,0.992194,1.00E-04,1.00E-04,1.00E-04
8,CB0639,0.0183141,0.968042,1.00E-04,1.00E-04,0.013444
8,CB0640,0.126151,0.52453,0.179786,0.0891334,0.0803994
8,CB0641,0.0533141,0.787128,0.0492418,0.0383672,0.0719491
8,CB0642,0.116413,0.394447,0.302586,0.0978829,0.0886712
8,CB0643,1.00E-04,0.972257,1.00E-04,1.00E-04,0.027443
8,CB0644,0.0560703,0.849586,0.0214496,0.0393171,0.0335768
8,CB0645,0.109932,0.527014,0.213266,0.0757758,0.0740131
8,CB0646,0.165355,0.347398,0.304699,0.103944,0.0786039
8,CB0647,0.102418,0.45956,0.263907,0.081778,0.0923374
8,CB0648,0.0540095,0.945691,1.00E-04,1.00E-04,1.00E-04
8,CB0649,0.111267,0.494451,0.229772,0.0822832,0.0822266
8,CB0650,0.139737,0.418438,0.26977,0.0870679,0.0849872
8,CB0651,1.00E-04,0.9996,1.00E-04,1.00E-04,1.00E-04
8,CB0652,0.0243005,0.946271,1.00E-04,0.0136897,0.0156391
8,CB0653,0.140363,0.512846,0.218036,0.0664425,0.0623125
8,CB0654,0.0453175,0.901731,1.00E-04,0.0261095,0.0267417
8,CB0655,0.133764,0.357013,0.313813,0.0995764,0.0958334
8,CB0656,0.171402,0.321911,0.330657,0.0958035,0.0802262
8,CB0659,0.0718942,0.908162,1.00E-04,0.00163954,0.0182047
8,CB0660,0.154456,0.34151,0.320134,0.0956453,0.0882544
8,CB0662,0.102783,0.572622,0.177251,0.0703715,0.0769717
9,CB0663,1.00E-04,0.0552461,0.944454,1.00E-04,1.00E-04
9,CB0664,0.0559944,0.087141,0.783256,0.0270674,0.0465411
9,CB0665,1.00E-04,0.107742,0.873523,0.0164632,0.00217149
9,CB0667,0.0451298,0.0596605,0.87928,0.0158294,1.00E-04
9,CB0668,0.111925,0.280429,0.435359,0.0862397,0.0860467
9,CB0670,0.0518269,0.13418,0.688462,0.0449952,0.0805353
9,CB0671,0.094249,0.194648,0.59507,0.0618715,0.0541618
9,CB0672,0.153652,0.307368,0.356955,0.0996238,0.0824011
9,CB0673,0.107417,0.260229,0.472346,0.101853,0.0581549
9,CB0674,0.107689,0.233456,0.513056,0.0773237,0.068476
9,CB0676,0.0137164,0.0310694,0.944745,1.00E-04,0.0103691
9,CB0677,0.0852646,0.197962,0.590538,0.068152,0.0580834
9,CB0678,1.00E-04,0.0581064,0.941594,1.00E-04,1.00E-04
9,CB0679,0.0744523,0.199098,0.596124,0.0656978,0.0646278
9,CB0680,1.00E-04,0.0875348,0.897077,0.015188,1.00E-04
9,CB0681,0.0944466,0.127439,0.720877,0.0297935,0.0274431
9,CB0682,0.0556276,0.0763976,0.844257,0.0149062,0.00881166
9,CB0683,0.0984423,0.223135,0.525403,0.0832854,0.0697342
9,CB0684,0.0974466,0.177418,0.645296,0.0482601,0.031579
9,CB0685,0.0172275,0.0288841,0.920616,1.00E-04,0.0331724
9,CB0686,0.0924775,0.238163,0.523842,0.0716033,0.0739146
9,CB0687,0.121636,0.291193,0.403404,0.0945367,0.0892308
9,CB0688,0.0400259,0.0559526,0.886183,0.0102973,0.00754135
9,CB0689,0.0945309,0.198608,0.5572,0.0653974,0.0842634
9,CB0690,1.00E-04,0.124729,0.831839,0.0314744,0.0118572
