"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 0 719338.521108571 327039.014996961 214483.606187169 205066.58902395 444248.55014222 425440.753109886 657646.999470709 221139.873746611
"2" 589400.068768259 0 244413.070729293 261715.071645038 235903.996396074 484241.818984724 489634.099191311 778815.384226332 266623.109934086
"3" 602300.423409354 649612.931481996 0 258222.321691523 228051.377252917 475808.859498361 484067.42826377 778843.496422575 261692.431204022
"4" 557619.943923889 734789.861722069 326097.251015848 0 167570.339148723 442222.284489128 440078.198401107 726756.688648601 159013.952177948
"5" 585146.550081241 745922.409793676 332869.929897814 204513.962469294 0 439866.637480414 443958.249241334 742502.788396335 192879.354245569
"6" 647179.264950256 817110.986133072 403478.165894001 302016.66156044 262717.391231154 0 406714.622173877 762878.869765234 295413.497846986
"7" 597796.533895478 791928.332317214 381161.800636965 269297.641449977 236234.068969631 376139.688151434 0 668352.695046879 263249.362669539
"8" 513873.590471562 764980.427567499 359808.679011034 239846.941912733 218649.418339895 416174.745958051 352223.505262142 0 238122.691485601
"9" 567205.448501533 742627.137029319 332496.597546548 161943.189196149 158864.9679432 438548.357793876 436959.15663887 727961.675239671 0
