"pop_3" "pop_1" "pop_2" "pop_5" "pop_7" "pop_9" "pop_8" "pop_4" "pop_6"
"pop_3" 0 0.480670129105227 0.311073591506054 0.146884498610096 0.22537494473671 0.520725041026539 0.275002452369904 0.174887169294953 0.189688411709582
"pop_1" 0.480670129105227 0 0.427443955899715 0.483298537076149 0.47525692190293 0.690828064499738 0.524739481056312 0.505247997487346 0.463721976433539
"pop_2" 0.311073591506054 0.427443955899715 0 0.220801189411573 0.27982425598741 0.646043906771343 0.361931668988263 0.350167922506039 0.281470297224748
"pop_5" 0.146884498610096 0.483298537076149 0.220801189411573 0 0.131365953164159 0.688117191909526 0.261889286774994 0.213849034446104 0.0936514876402488
"pop_7" 0.22537494473671 0.47525692190293 0.27982425598741 0.131365953164159 0 0.493418354213088 0.256117257853356 0.248764683942997 0.0779708882336374
"pop_9" 0.520725041026539 0.690828064499738 0.646043906771343 0.688117191909526 0.493418354213088 0 0.439039045262705 0.517160545283439 0.474228674360279
"pop_8" 0.275002452369904 0.524739481056312 0.361931668988263 0.261889286774994 0.256117257853356 0.439039045262705 0 0.259770964616195 0.244731297862886
"pop_4" 0.174887169294953 0.505247997487346 0.350167922506039 0.213849034446104 0.248764683942997 0.517160545283439 0.259770964616195 0 0.220445528277226
"pop_6" 0.189688411709582 0.463721976433539 0.281470297224748 0.0936514876402488 0.0779708882336374 0.474228674360279 0.244731297862886 0.220445528277226 0
