Group,Ind,locality,pop,q,likely_assignment,assignment_prob,name,longitude,latitude
1,CB0421,ST,P1,1e-4,P2,0.9996,P. benedetti,-105.044361,19.498028
1,CB0421,ST,P2,0.9996,P2,0.9996,P. benedetti,-105.044361,19.498028
1,CB0421,ST,P3,1e-4,P2,0.9996,P. benedetti,-105.044361,19.498028
1,CB0421,ST,P4,1e-4,P2,0.9996,P. benedetti,-105.044361,19.498028
1,CB0421,ST,P5,1e-4,P2,0.9996,P. benedetti,-105.044361,19.498028
1,CB0422,ST,P1,0.103011,P2,0.455332,P. benedetti,-105.044361,19.498028
1,CB0422,ST,P2,0.455332,P2,0.455332,P. benedetti,-105.044361,19.498028
1,CB0422,ST,P3,0.299702,P2,0.455332,P. benedetti,-105.044361,19.498028
1,CB0422,ST,P4,0.0719629,P2,0.455332,P. benedetti,-105.044361,19.498028
1,CB0422,ST,P5,0.0699926,P2,0.455332,P. benedetti,-105.044361,19.498028
1,CB0425,ST,P1,0.109654,P2,0.353563,P. benedetti,-105.044361,19.498028
1,CB0425,ST,P2,0.353563,P2,0.353563,P. benedetti,-105.044361,19.498028
1,CB0425,ST,P3,0.342184,P2,0.353563,P. benedetti,-105.044361,19.498028
1,CB0425,ST,P4,0.104779,P2,0.353563,P. benedetti,-105.044361,19.498028
1,CB0425,ST,P5,0.0898202,P2,0.353563,P. benedetti,-105.044361,19.498028
1,CB0430,ST,P1,0.0124818,P2,0.811769,P. benedetti,-105.044361,19.498028
1,CB0430,ST,P2,0.811769,P2,0.811769,P. benedetti,-105.044361,19.498028
1,CB0430,ST,P3,0.138774,P2,0.811769,P. benedetti,-105.044361,19.498028
1,CB0430,ST,P4,0.0199713,P2,0.811769,P. benedetti,-105.044361,19.498028
1,CB0430,ST,P5,0.017004,P2,0.811769,P. benedetti,-105.044361,19.498028
1,CB0431,ST,P1,0.145202,P2,0.351626,P. benedetti,-105.044361,19.498028
1,CB0431,ST,P2,0.351626,P2,0.351626,P. benedetti,-105.044361,19.498028
1,CB0431,ST,P3,0.301041,P2,0.351626,P. benedetti,-105.044361,19.498028
