"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 0 1063373.63006005 366736.425258306 232988.679732652 217207.498519835 877197.512464287 656887.41010985 1242704.49982063 245434.951477024
"2" 931216.765423352 0 264390.875808558 293867.015151455 256371.076254942 918565.190551465 727454.649510244 1411182.10130753 302556.171297994
"3" 942515.895665274 972327.210852239 0 292185.442191731 250402.731629186 910663.379948744 721885.296273611 1411446.69666043 299201.109651211
"4" 880998.935923633 1074034.13597912 364416.227975737 0 181892.747291276 877253.827135203 675211.392124917 1348143.37578314 185710.806049903
"5" 914514.020166613 1085834.46253841 371929.782868992 231189.01274708 0 874612.025543924 678138.356272534 1367896.58278058 222600.344125652
"6" 989521.959269429 1163046.50199329 447208.356346923 341568.017749382 289629.950702302 0 633175.272534872 1401147.53791524 338206.782881628
"7" 935650.351699047 1138374.45573612 424868.767455842 305964.077523145 259594.776214961 799613.767318929 0 1298582.91211352 302619.590394272
"8" 805948.558904256 1106583.02502786 398911.285337102 263377.178675802 233834.120217444 852067.150193737 583064.029607952 0 265985.076619551
"9" 893085.313412749 1082363.3978704 371072.001179963 185350.911794648 172944.184414593 873532.698012199 671507.010740793 1350391.37947164 0
